Question,Answer
"What certifications does your data center have or external, independent validations of the following:? ISO 27001",Yes
"What certifications does your data center have or external, independent validations of the following:? FedRAMP",Yes
"What certifications does your data center have or external, independent validations of the following:? HIPAA (please provide type of assessment performed and certifying organization in the comments section)",Yes
"What certifications does your data center have or external, independent validations of the following:? NIST (please provide type of assessment performed and certifying organization in the comments section)",Yes
" Has your organization ever experienced a data breach?  If so, please explain in the comments box.",NO
Has top management demonstrated leadership and commitment to information security?,Yes
Has top management communicated a documented information security policy throughout the organisation?,Yes
Has top management assigned and communicated defined information security roles and responsibilities throughout the organization?,Yes
"Are legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, understood and managed?",Yes
Have you documented the internal and external factors affecting your ISMS?,Yes
Have you documented the needs and expectations (including requirements) of all interested parties relevant to the ISMS?,Yes
"Have you determined the scope (i.e., the boundaries and applicability) of your ISMS?",Yes
Have you formally established the ISMS and ensure its continual improvement?,Yes
Can you provide your information security policy and program documentation?,"No , Company Policies are confidential and for internal use only. We do not share with external parties."
Do you have a well-defined and documented procedure for identifying information security risks and opportunities for improvement that are relevant to the context of the organization (4.1) and needs and expectations of interested parties (4.2)?,Yes
"Do you have an official documentation structure or hierarchy, whereby you include documentation that is directly required by ISO 27001, as well as documentation that is deemed necessary for an effective information security program?",Yes
Do you have well-defined and documented policies and procedures for ensuring proper control and handling of ISMS documentation?,Yes
"Do you have well-defined and documented operating procedures?
e.g., addressing the installation of systems, processing and handling of information, support and escalation processes, project management methodologies, etc.",Yes
Do you have well-defined and documented procedures for controlling the installation of software on operational systems?,Yes
Do you have a well-defined and documented policy restricting the installation of software on company-issued devices?,Yes
"Can you provide your visitor security policy and procedures? If yes, attach/if no, please explain.","No, Logitech’s policies and procedures are confidential and for internal use only, it is not shared externally"
"Provide Policy and procedures for managing accounts, including - creating, modifying, monitoring, and deleting/disabling accounts.","No , Logitech’s policies and procedures are confidential and for internal use only, it is not shared externally"
Provide policy and procedure for Remote Access and/or information security policy that addresses Remote Access.,No
Provide Wireless Access Policy and Procedures and/or information security policy that addresses Wireless Access.,"No, Logitech’s policies and procedures are confidential and for internal use only, it is not shared externally
"
"Provide the most recent Baseline Configuration document for the information system (e.g., hardening procedures for Window OS, baseline security settings for sever AND application builds.)","No, Logitech’s policies and procedures are confidential and for internal use only, it is not shared externally
"
Configuration Change Control procedures.,"No, Logitech’s policies and procedures are confidential and for internal use only, it is not shared externally
"
Provide documentation that demonstrates information system Component and Asset Inventory is maintained and kept up to date.,"No , Cloud Based Solution in AWS does not require inventory"
Please provide copy of Configuration Management procedures.,"No , Logitech’s policies and procedures are confidential and for internal use only, it is not shared externally"
Provide Acceptable Use policy and/or samples of software licensing documentation.,"Yes, https://sync.logitech.com/terms-of-service"
"Provide Password policy and procedures, including length and complexity requirements as well as process initial password distribution and changing of factory defaults.","No , ""Logitech’s policies and procedures are confidential and for internal use only, it is not shared externally
"""
Provide Penetration Testing Policy and Procedures and an executive summary of the most recent penetration test.,"No , Logitech’s policies and procedures are confidential and for internal use only, it is not shared externally
"
Provide documentation that all identified vulnerabilities are remediated in a timely manner.,No
"Provide evidence that malware protection solutions are implemented on servers, workstations, and all other end points that process, transmit, or store client data.",No
"Provide evidence that information integrity tools are used. (e.g., tripwire).","No , Logitech’s policies and procedures are confidential and for internal use only, it is not shared externally
"
Please provide Vendor Management Policy/ Procedures.,"No , Logitech’s policies and procedures are confidential and for internal use only, it is not shared externally
"
Please provide screenshot of Incident Management Software or redacted incident tickets.,No
Comprehensive Incident Response Plan/ Incident management team alerts.,"No , Logitech’s policies and procedures are confidential and for internal use only, it is not shared externally
"
"Provide a copy of any relevant Third-Party Certifications and/or Audit (e.g., SOC 2 Type 2, HITRUST, ISO 27001, HIPAA, PCI).",N/A
Please provide the most recent invoice from respective background check provider.,N/A
Please provide a redacted organizational chart of security team and leader.,"No , Logitech has a CISO who manages the security team that covers a broad range of security categories including a SOC, network security, Vulnerability management, it-GRC, incident management,  suppliers and risk management and is directly involved with privacy and product security."
Do governance and risk management processes address cybersecurity risks?,Yes
"Are suppliers and third party partners routinely assessed using audits, test results, or other forms of evaluation to confirm they are meeting their contractual obligations?",Yes
"Are threats, both internal and external, identified and documented?",Yes
Do you have a well-defined and documented procedure for assessing information security risks and opportunities for improvement?,Yes
Do you have a well-defined and documented procedure for treating information security risks and opportunities for improvement?,Yes
"Have you created a ""statement of applicability"" that documents the ISO 27001 Annex A controls that have been deemed applicable to the ISMS as a result of a risk assessment?",No
"Does your organisation undergo risk assessments at planned intervals or whenever significant changes are planned or occur, and document the results?",Yes
"Do you have create and carry out documented risk treatment plans following risk assessments, and document the results?",Yes
Do you have well-defined and documented policies and procedures for addressing supplier access to the organisation's information?,Yes
Are information security requirements addressed in vendor/supplier contracts?,Yes
Do vendor/supplier contracts address information security risks associated with the use of subcontractors?,Yes
Do you have a process for monitoring and reviewing vendor/supplier services?,Yes
Do you have a process for managing changes made to vendor/supplier services?,Yes
"Do you outsource, offshore, subcontract, or delegate any of your duties, responsibilities or obligations assigned by Kroger to any third parties?","Yes , We use AWS as our datacenter provider"
"If yes, explain if the customer has/will be notified of the arrangement, what information is provided to the provider, and what work is being done:","Yes , We use AWS as our datacenter provider"
"How are your partner’s security procedures assessed, and who has legal responsibility to protect the data?",Vendor security reviews and MSA in place that processor and subprocessers of Logitech data has to comply with
"Are there formally documented policies and procedures for Risk Assessments? If yes, please attach.","Yes , This documentation is confidential and for internal use only. "
"Does the organization categorize information and the information system in accordance with applicable Federal Laws, Executive Orders, directives, policies, regulations, standards and guidance?",Yes
"Does the organization conduct a risk assessment including the likelihood and impact of harm, from the unauthorized access, use, disclosure, disruption, modification or destruction of the information system and the information it processes, stores or transmits?",Yes
"Does the organization scan for vulnerabilities in the information system and hosted applications and when new vulnerabilities potentially affecting the system/applications are identified and reported? If yes, please provide the date of the most recent vulnerability scan and the tools utilized, in the comments section.",Yes
Do you have a formal Information Security Program?,Yes
"Please specify the name of standards, or best practices your Information Security Program is based on:",NIST 800-53
 Please specify what security related certifications your company have:,"N/A , None "
"Are Information Security personnel integrated and active members of architecture/project management groups (including but not limited to: network design, desktop infrastructure, server infrastructure and client engagements)?",Yes
How often do your employees go through security awareness training?,"Yes , Upon hire, and at least once per year."
Do you require interns/contractors/consultants to go through the security awareness training?,Yes
"Is there a formally defined security architecture, not network architecture, in place?",Yes
Please describe the security architecture or provide supporting documents:,N/A This information is confidential and for internal use only
"Have you allocated the resources necessary for achieving your objectives and to ensure continual improvement of your ISMS? Have you determined and provided the resources necessary for the establishment, implementation, maintenance and continual improvement of the ISMS?",Yes
"Do you have a well-defined and documented procedure for identifying information security objectives and creating ""S.M.A.R.T."" plans for achieving them.
ISMS objectives should be ""S.M.A.R.T.""—i.e., Specific, Measurable, Achievable, Relevant, and Time bound.",Yes
"Have you ensured that in-scope personnel have the necessary levels of information security education, training and experience? Are individuals within ISMS roles competent and is the competence documented appropriately?",Yes
"Do you ensure organisation-wide awareness of information security policies and procedures, and individual roles and responsibilities with respect to security? ",Yes
Do you have well-defined and documented policies and procedures for handling both internal and external communications about the ISMS?,Yes
"Do you have a process by which you plan, implement, control and review ISMS operations, and keep evidence of that process being followed?",Yes
Do you use metrics for evaluating the performance and effectiveness of your information security program?,Yes
Do you conduct management reviews of the ISMS at defined intervals?,Yes
Do you have a set of well-defined and documented information security policies and procedures that have been communicated to all relevant parties?,Yes
Do you formally review your information security policies and procedures at defined intervals?,Yes
Do you have written security policies and are they reviewed and updated as needed at least annually?,yes
Do you have an internal team dedicated to Information Security tasks?,yes
Do you outsource any security management functionality?,No
"Are there formally documented procedures for security awareness and training for this information system? If yes, please attach.",Yes
Is basic security awareness training performed for all personnel as a part of the onboarding process?,Yes
Is it periodically performed for all users?,Yes
Is there role-based security training for personnel with assigned security roles and responsibilities for this information system before access is granted and when required by information system changes?,Yes
Do you document and monitor information system security training activities for individuals?,Yes
Are there established and readily available rules of behavior that describe the responsibilities and expected behavior of users for this information system?,Yes
"Do users indicate that they have read, understood, and agree to abide by the rules of behavior before authorizing access to information and the information system? If yes, how is this documented?",Yes
Are the rules of behavior updated?,Yes
Does the organization have a comprehensive information security architecture for their information system?,Yes
Does the organization describe how the information security architecture is integrated into and supports the enterprise architecture?,Yes
Does the organization describe any information security assumptions and dependencies on external services?,Yes
"Do you have formally documented policies and procedures for System and Information Integrity? If yes, please attach.",Yes
"Are information system flaws identified, reported, and corrected? (I.e., are vulnerability scans performed and addressed?)",Yes
Are software and firmware updates tested for effectiveness and potential side effects before installation?,Yes
Is flaw remediation incorporated into the organizational configuration management process?,Yes
"Do you have an anti-virus running with current updated virus definition (DAT) files? If yes, please provide the name of the anti-virus solutiion utilize in the comments section.","Yes , Malwarebytes , Crowdstrike"
Are the DAT files updated regularly?,Yes
Is the information system and its components periodically scanned for malicious code?,Yes
Are the administrators notified and do they respond to malicious code detections?,Yes
"Is the information system monitored to detect attacks, potential attacks, and unauthorized use? (This can be done through audit activity in real time, monitoring devices, or applications such as Tripwire or SiteScope.)",Yes
"Does the team  receive or subscribe to external security alerts, listservs, etc. related to the information system? (For instance, does the vendor notify you of security issues with an application?)",Yes
"Does the team generate and disseminate internal security alerts, advisories, and directives as deemed necessary?",Yes
"Are integrity verification tools used to detect unauthorized changes to software, firmware, and information?  (E.g., Tripwire)",Yes
Are spam protection mechanisms in place and updated as needed?,Yes
"Is information within and output from the system retained for the amount of time as required by data policies and regulations? (This includes paper copies, CDs, DVDs, and flash drives.)",Yes
Have information security roles and responsibilities throughout the organisation been defined and communicated to all relevant parties?,Yes
"Do you segregate duties, roles and responsibilities where applicable?",Yes
"Do you maintain a list of contact details for relevant authorities, and documented procedures on when and how to communicate with them?
i.e. in the event of security breach",Yes
"Do you maintain contact/membership with relevant special interest groups, security forums and/or professional associations?
Enter explanation or description for your answer below.",Yes
Have you integrated information security into your project management methodologies?,Yes
"If vendor in turn relies upon downstream vendors to provided security-centric support (e.g., MSSP) services, please identify these vendors and the functions they will be providing as part of the service agreement with the District:",N/A
"3. Will any vendor subcontractors or non-employees of the vendor have access to District data? If so, please describe the subcontractor’s data security policies, subcontractor employee cybersecurity training, and subcontractor employee background checks.",N/A
What kind of security testing and security reviews do you have internally? ,Black-box or Grey-box penetration test of applications
 What other kinds of security testing do you have? ,We do  automated SAST and DAST internally 
 Have any third-party security assessments been performed against the internal production infrastructure?,Annually
"Have any third party auditors performed an audit or analysis of security controls, methods, processes or procedures?",Annually
"Are there formally documented policies and procedures for Personnel Security? If yes, please attach.",Yes
Does the organization assign risk designations to all positions?,Yes
Does the organization establish screening criteria for individuals filling those positions?,Yes
Does the organization review and revise position risk designations at least every three years?,Yes
Does the organization screen individuals prior to authorizing access to the information system?,Yes
Does the organization re-screen individuals with access to the information system?,No
Does the organization have appropriate termination procedures in place to those with access to the information system?,Yes
Does the organization have appropriate transfer procedures in place to those with access to the information system?,Yes
Does the organization have access agreements (reviewed annually) for individuals with access to the information system?,Yes
Does the organization have appropriate third-party access control procedures for external parties granted access to the information system?,Yes
Does the organization have appropriate personnel sanctions policies and procedures?,Yes
"Are there formally documented policies and procedures for System and Services Acquisitions? If yes, please attach.",Yes
Does the organization adequately allocate resources to allow for the information system to run safely and efficiently?,Yes
Does the organization define a comprehensive life cycle for the information system?,Yes
"Does the organization include the requirements, descriptions, and criteria, explicitly or by reference, in the acquisition contract for the information system, system component, or information system service in accordance with applicable federal laws, Executive Orders, directives, policies, regulations, standards, guidelines, and organizational mission/business needs",Yes
"Does the organization apply information system security engineering principles in the specification, design, development, implementation, and modification of the information system.",Yes
"Does the organization require that providers of external information system services comply with organizational information security requirements in accordance with applicable Federal Laws, Executive Orders, directives, policies, regulations, standards and guidance?",Yes
"Does the organization require the developer of the information system, system component or information system service to perform configuration, document the changes and implement only organization-approved configuration changes?",Yes
"Does the organization require the developer of the information system, system component, or information system service to create and implement a security assessment plan, perform tests/evaluations and produce evidence of the execution of the security assessment plan?",Yes
"Does the organization protect against supply chain threats to the information system, system component, or information system service by employing a Vendor Risk Management fucntion as part of a comprehensive, defense-in-breadth information security strategy?",Yes
Do you maintain an inventory of all information-related assets?,Yes
Do all assets have clearly defined owners who are aware of their responsibilities for the lifecycle of those assets?,Yes
Do you have a documented acceptable use policy that has been communicated throughout the organisation?,Yes
"Does your formal termination process include the return of any information-related assets that had been issued to workforce personnel?
There should be a role in charge of implementing any procedure that supports this.",Yes
"Do do you have a process (or scheme) for classifying information, based on legal requirements, value, criticality and sensitivity?",Yes
Do you have procedures for labelling information based on classification?,Yes
Do you have procedures for handling assets based on classification?,No
Do you have procedures for managing removable media based on classification?,Yes
Do you have procedures for securely disposal of media?,Yes
Do you protect media that contains information during transportation?,Yes
Is all removable media stored only on-site within a recognized data center?,"N/A , This is an AWS Cloud Environment implementation"
"Are there formally documented policies and procedures for Media Protection? If yes, please attach.","N/A , This is an AWS Cloud Environment implementation"
"Is access to media associated with the information system (diskettes, hard disk drives, flash drives, CDs, paper, microfilm, etc.) restricted to authorized personnel?","N/A , This is an AWS Cloud Environment implementation"
"Is any media containing sensitive data marked to indicate distribution limitations, handling caveats, ownership, and any applicable security markings if it is removed from a controlled area?","N/A , This is an AWS Cloud Environment implementation"
"Is the media stored is a secure location? (E.g., data center, locked office or cabinet.)","N/A , This is an AWS Cloud Environment implementation"
Does media related to this information system get transported outside of the controlled environment?,"N/A , This is an AWS Cloud Environment implementation"
"Do you maintain accountability during the transport of the media outside of the controlled area, documenting transport activities and restricting transport activities to associated personnel?","N/A , This is an AWS Cloud Environment implementation"
"Is the media sanitized prior to destruction, disposal, re-use, or release? (I.e., degaussed.)",Yes
"Are there any restrictions on the types of storage media that can connect to the information system? (E.g., restricting or prohibiting the use of flash drives or external hard disk drives.)","N/A , This is an AWS Cloud Environment implementation"
"Are there technical or nontechnical safeguards (e.g., policies, procedures, rules of behavior) in place to enforce the media restriction(s)?",Yes
"Do you conduct appropriate background screenings on all job candidates, while ensuring compliance with all relevant legal and ethical requirements?",Yes
Do your written terms and conditions of employment define the information security responsibilities of both workforce personnel and the organisation?,Yes
Are all workforce personnel required by management to follow all applicable information security policies and procedures?,Yes
"Do you ensure that all workforce personnel receive an appropriate level of information security awareness, education and training?",Yes
Do you have a formal disciplinary process that has been communicated throughout the organisation?,Yes
Do you have a process for ensuring that information security responsibilities and duties that remain valid after termination or change of employment are communicated to all workforce personnel and enforced?,Yes
 Are all full-time employees subject to background checks?,Yes
Are contractors and temporary/outsourced workers subject to the same background checks?,yes
Do you have defined security perimeters around areas with sensitive or critical information?,Yes
Do you ensure that only authorised personnel are allowed access to secure areas?,Yes
"Do you ensure the physical security of offices, rooms and facilities?",Yes
"Have you put physical protection measures in place to limit the impact of natural disasters, malicious attack or accidents?","Yes, Data in scope is stored in AWS data centres"
Do you have well-defined and documented procedures for working in secure areas?,Yes
Do you control access to delivery and loading areas?,Yes
"If there are are designated delivery/loading areas, is access from those areas isolated from information processing systems/facilities?",Yes
"Do you consider environmental threats and hazards, as well as opportunities for unauthorized access, when choosing locations and physical controls for protecting equipment?",Yes
"Do you ensure the protection of equipment from power failures or other disruptions?
e.g., through use of a universal power supply",Yes
"Do you ensure the protection of cables from interception, interference or damage?",Yes
Do you have a process for maintaining equipment?,Yes
Are controls in place to ensure that assets are not taken off-site without prior authorisation?,Yes
Do you ensure the security of assets that have been taken off-site?,Yes
"Do you ensure that secure disposal or re-use of equipment containing any sensitive, confidential or copyrighted information?",Yes
Are users made aware of how to properly protect unattended equipment?,Yes
"Do you have a well-defined and documented clear desk and clear screen policy?
This should be distributed and monitored.",Yes
"Do you maintain your own data center? If yes, where is your data center located? List all that apply.",No
"If no, who provides you data center services?",AWS
Is your data center a cloud service?,Yes
What is the location and region of your data center(s)? List all that apply.,AWS
"Where will the application or customer data be hosted? (i.e. cloud provider, company data center, 3rd party data center, etc.)",Sync service relies on AWS cloud service provider
"If cloud provider, are there security measures in place to prevent logical access to systems / containers by employees of the cloud providers?",yes
"Are all locations secured by security guards 24 hours a day, 7 days a week?",Yes
"Are vendors, visitors, family members or maintenance personnel allowed access to these locations?","No , For AWS data centres where sync will be physically stored"
"Are the servers and other equipment located within a certifed data center? If yes, please provide the name of the data center and the certifications maintained, in the comments section.","Yes , AWS"
Is there a documented and current list of personnel with authorized access to the facility where the information system resides?,N/A AWS datacentre
Is the access list detailing the individuals with authorized facility access periodically reviewed?,N/A AWS datacentre
Are individuals no longer requiring facility access removed from the list?,N/A AWS datacentre
"Are there controls in place to verify individual access before granting access to the facility where the information system resides? (E.g., card readers.)",N/A AWS datacentre
Do you maintain physical access audit logs for the necessary entry/exit points?,N/A AWS datacentre
"Are there any components of the information system available in a public area? (For example, a client on a public or publicly visible workstation.) If yes, detail in the comment how this access is controlled. ",No
Do you escort visitors and monitor visitor activity?,N/A AWS datacentre
"Are keys, combinations, and other physical access devices secured?",N/A AWS datacentre
Are physical access devices inventoried and periodically reviewed?,N/A AWS datacentre
"Are combinations and keys changed periodically or when keys are lost, combinations are compromised, or individuals are transferred or terminated?",N/A
"Are phone lines, internet lines, energy lines, and other wires protected from environmental damage or access from unauthorized individuals? (E.g., locking wiring closets, disconnecting or locking spare jacks, protecting cabling by conduit or cable trays.)",Yes
"Are monitors, printers, and audio devices physically secured so that unauthorized individuals may not obtain information from the output?",Yes
Is there monitoring  of physical access to the facility where the information system resides to detect and respond to physical security incidents?,Yes
Are physical access logs reviewed?,N/A
Are the results of the review and investigation available for the incident response team?,N/A
Do you maintain visitor access records to the facility where the information system resides?,N/A
Are the visitor access records reviewed on a regular basis?,N/A
Are there emergency power shutoffs in easily accessible areas that are protected from unauthorized activation?,N/A
"Is there short-term, uninterruptible power supply (UPS) to facilitate the transition of the information system to the long-term alternate power source in the event of a primary power source loss?",Yes
Do you maintain automatic emergency lighting that activates in the event of a power outage and that covers emergency exits and evacuation routes within the facility?  ,N/A
Do you use and maintain fire suppression and detection devices/systems for the information system that are supported by an independent energy source?,N/A
Do you regularly monitor and maintain temperature and humidity in an acceptable level within the facility? ,N/A
"Is the information system protected from damage resulting from water leakage by providing master shutoff or isolation valves that are accessible, working properly, and known to key personnel?",N/A
"Do you authorize, monitor, and control information system components entering and exiting the facility and maintain records of those items?",N/A
"In the event of an emergency, has an alternate work site with effective physical security controls been designated?",Yes
Do you position information system components to minimize potential damage from physical and environmental hazards or to minimize unauthorized access?,Yes
Do you have proper change management controls in place?,Yes
Do you have a well-defined and documented backup policy?,Yes
"Do you maintain, and regularly review, event logs?",Yes
Are controls in place to protect event logs?,Yes
Do you maintain logs of system administrator and operator activities?,Yes
Do you ensure clock synchronisation for relevant information processing systems?,Yes
Do you retain change transaction logs for the application for a certain period of time? How long,"Yes , Transaction logs and database information is backed up per Logitech IT policies. Logitech will provide detailed backup information under NDA if selected as a partner."
"Can you share your change policy with Eaton? If no, please explain.","Yes , Logitech follows ISO and ITIL-aligned change management processes. Logitech will provide detailed change management information under NDA if selected as a partner."
Is there a standard paper/hard copy destruction process for your company?,Yes
 Please describe the process or provide the supporting documents of the hard drive decommission process:,"Logitech has a data retention and destruction process. We do not share our internal processes with external parties, they are confidential."
Are backups performed?,Yes
 Are backups encrypted?,"Yes , AES-256 algorithm (256 bit key)"
 Do you regularly test your backups?,Yes
"Do you enforce separation of duties with respect to system development, database administration, and system administration across development, test and production environments?","Yes , controls in place, change management "
Do you require two-factor authentication for systems that contain sensitive information?,"Yes , users will need to have approved access and given access to the application by groups through identity management tool"
Are there any conditions where developers and contractors (including vendor hardware service personnel) permitted to have access to production systems for troubleshooting and maintenance?,"Sync ,  The Sync service is only run from a public cloud. Access to the customer database is granted by the management team to a small group of Sync developers who are responsible for supporting the service operations. Access rights are revised or revoked whenever there is a change of role. Limited customer data is shared with the product management team for marketing research, product planning, and customer follow up"
Is management's approval required for the removal of the information system or its components for off-site maintenance and repairs?,N/A
"Do you sanitize equipment to remove all information from associated media (e.g., hard drives) prior to removal from the facilities for off-site maintenance or repairs?",N/A
"Do you check all potentially impacted security controls to verify that the controls are still functioning properly following maintenance or repair actions? (E.g., verify that audit logs are still functioning properly, user level of access is still appropriate.)",yes
"Is any nonlocal maintenance and diagnostic activity performed on the information system  (such as across the network, either internal or external, using terminal services/RDP)?",Yes
Are all nonlocal maintenance and diagnostic activities approved and monitored?,Yes
Are strong authenticators/passwords used in the establishment of nonlocal maintenance and diagnostic sessions?,Yes
Do you maintain records for nonlocal maintenance and diagnostic activities?,Yes
Are the sessions and network connections terminated after the nonlocal maintenance has been completed?,Yes
"Are there documented procedures to outline who/when and how the system/application is configured? If yes, please attach",Yes
"Do you have a current configuration baseline documented for the information system? (The baseline configuration is a documented, up-to-date specification to which the information system is built.)",Yes
Are types of changes to the information system that are configuration-controlled defined?,Yes
"Does the organization review proposed configuration-controlled changes to the information system, using defined security impact analyses?",Yes
Are all configuration changes adequately documented?,Yes
Are all approved configuration controls implemented timely?,Yes
Does the organization retain records of configuration controlled changes?,Yes
Are there auditing and monitoring activities implemented to assess the configuration-controlled changes?,Yes
Do you analyze changes to the information system to determine potential security impacts prior to change implementation?,Yes
"Does the organization define, documents, approves, and enforces physical and logical access restrictions associated with changes to the information system?",Yes
Have all the configuration settings been documented that reflect the most restrictive mode consistent with operational requirements?,Yes
"Is there any automated or manual monitoring of configuration changes? (e.g. Tripwire, manual checklists)",Yes
Do you document and approve deviations from the established configuration settings?,Yes
"Do you restrict or prohibit the use of any functions, ports, protocols and/or services that are not essential to the function of the information system?",Yes
Do you have an accurate and current documented inventory of the components within the information system?,"N/A , System is a virtual deployment in the AWS cloud, thus no hardware is used."
"If yes, do you review and update the information system component inventory regularly?",N/A
"Does the organization develop, document, and implement a configuration management plan for the information system that addresses roles, responsibilities and configuration management processes and procedures?",Yes
Does the organization establish a process for identifying configuration items throughout the system development life cycle?,Yes
Does the organization define configuration items for the information system?,Yes
Does the organization protect the configuration management plan for unauthorized disclosures and modifications?,Yes
Is software usage in accordance with contract agreements and copyright laws?,Yes
Is user installation of software restricted and monitored?,Yes
"Are patches applied to the information system in a timely manner? If so, how quickly are patches applied?",Yes
Are there standards or policies which define the timing of patching the information system?,Yes
"Do you use Development, Test, QA, and Production environments during the patch management process? If so, describe the manner in which these environment are utilized?",Yes
"Do you categorize patches based on severity? If yes, please provide the categories, their definitions, and the associated time frames for deploying patches to production environments.",Yes
"Do you implement patches categorized as ""critical"" within 72 hours of patch release?",Yes
Do you have a well-defined and documented access control policy?,Yes
Do you ensure that users only have access to network and network services that they have been specifically authorised to use?,Yes
Do you have a well-defined process for user registration and de-registration?,Yes
Do you have a well-defined process for provisioning (assigning or revoking) user access for all systems and services?,Yes
Do you restrict and control privileged access rights?,Yes
Do you have a well-defined process for allocating secret authentication information?,Yes
Do you regularly review user access rights with asset owners?,Yes
Do you ensure the removal of access rights of users upon termination?,Yes
Do you require users to follow policies and procedures on the appropriate use of secret authentication information?,Yes
Do you restrict access in accordance with your access control policy?,Yes
"Do you have a secure log-on procedure for controlling access to systems and applications, in accordance with the access control policy?",Yes
Do you use a password management system?,Yes
Do you restrict and control the use of utility programs that have the ability to override system and application controls?,Yes
Do you restrict access to program source code?,Yes
"Are identities and credentials issued, managed, verified, revoked and audited for authorized devices and users and processes?",Yes
Is remote access managed?,Yes
Are identities proofed and bound to credentials and asserted in iterations?,Yes
Do privileged users understand roles and responsibilities?,Yes
Do you have session timeouts set up for all desktops that access Eaton data?,Yes
Is electronic access to systems containing customer data removed within 24 hours for terminated constituents?,"No , Logitech's Corporate IT: Yes, termination is immediate as soon as the request has been received. That would be the network access / AD account and with OKTA it will downstream to other systems. The 72 hours is for any old systems that may need to have a manual termination, the 72 hours is to cover if the request comes in on a Friday and can not be done until Monday. "
Is multifactor authentication deployed?,Yes
Where is MFA deployed?,"Privileged Internal, All applications where available"
"Do you support SSO technology? If yes, please explain.","Yes , Logitech uses a federated identity management solution"
How do you authenticate customer driven change requests to ensure only authorized customer personnel request and authorize changes?,"In Logitech Sync, we use role-based access control that is managed by the customer's administrator"
" Identify how access control rights are governed with respect to vendor employee access to District data, including management-driven account provisioning/termination and role-based assignments:",Identity management- Okta
10. Identify branded cloud-based solutions in use by the vendor to provide Single Sign-on (SSO) and the extent to which the vendor can integrate with Microsoft ADFS for Identity Provider services.,"Okta, Azure Active Directory."
 Is role based access used to control access to systems and applications?,"Yes , Roles operate on a least privilege basis"
"Do individuals with high level of access (i.e. system admins, DBAs, etc.) use two-factor to authenticate to systems that they manage?","Yes , Identity management solution, vpn, and password vault"
