"Task","Status","Remediation Status","Score","Project","Org. Unit","Risk","Assignee","Reviewer","Approver","Due Date","Comments"
"27b) Does your Human Resource Policy include Background screening?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"27c) Does your Human Resource Policy include Employment agreements?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"27d) Does your Human Resource Policy include Security Awareness training?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"27e) Does your Human resource Policy include a Disciplinary process for non-compliance?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"27f) Does your Human Resource Policy include Termination or change of status process?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"29) Are background checks performed for Service Provider Contractors and Subcontractors?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"30) Do information security personnel have professional security certifications?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"31) Is there a physical security program?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"32) Are physical security and environmental controls in the data center and office buildings?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"33) Are visitors permitted in the facility?","Submitted","","No","Level 1","chatbot v1","","chat bot","","","6/29/2022","No , For AWS data centres where sync will be physically stored"
"34) Are Management approved operating procedures utilized?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"35) Is there an operational change management/change control policy or program that has been approved by management, communicated to appropriate staff and an owner to maintain and review the policy?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"36) Are backups of Scoped Systems and Data performed?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"37) Are Cloud Services provided? If yes, what service model is provided (select all that apply):","Submitted","","Software as a Service","Level 1","chatbot v1","","chat bot","","","6/29/2022","Sorry, could you say that again?"
"38) Is there a client management portal which allows distributed business accounts (business units/departments) to be managed under a single central corporate account?","Submitted","","No","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"39) Are application self service features or an Internet accessible self-service portal available to clients?","Submitted","","No","Level 1","chatbot v1","","chat bot","","","6/29/2022","No ,We have no way of knowing who clients customers are."
"40) Can clients run their own security services within their own cloud environment?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"41) Is there a management approved process to ensure that image snapshots containing Scoped Data are authorized prior to being snapped?","Submitted","","Not applicable","Level 1","chatbot v1","","chat bot","","","6/29/2022","I didn't get that. Can you say it again?"
"42) Is there a formal process to ensure clients are notified prior to changes being made which may impact their service? If yes, what is the communication method:","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022","Yes , """"""When a security vulnerability or issue is
found, it is prioritized based on the severity.
Any high severity issues like exposing user
data or privacy are handled immediately.

(Source: Sync SAQ)"""""""
"43) Is there a scheduled maintenance window? If yes, what is the frequency:","Submitted","","Not applicable","Level 1","chatbot v1","","chat bot","","","6/29/2022","Say that one more time?"
"44) Is there a scheduled maintenance window which results in client downtime? If yes, what is the downtime:","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"45) Is there an online incident response status portal, which outlines planned and unplanned outages? If yes, how long after an unplanned outage is this updated:","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022","n/a
"
"46) Are electronic systems used to transmit, process or store Scoped Systems and Data?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"47) Are individual IDs required for user authentication to applications, operating systems, databases and network devices?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022","Yes , users will need to have approved access and given access to the application by groups through identity management tool

"
"48) Are passwords required to access systems transmitting, processing or storing Scoped Systems and Data?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"49) Is there a password policy for systems that transmit, process or store Scoped Systems and Data that has been approved by management, communicated to staff, and enforced on all platforms?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022","yes , Identity management solution, vpn, and password vault"
"50) Is remote access permitted?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"51) Is standards based federated ID capability available to clients (e.g., SAML, OpenID)?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022","Yes, Logitech Sync supports SSO that
can integrate with any ID providers that
use standard authentication protocols,
namely SAML and OpenID"
"52) Is two factor authentication required to access the production environment containing Scoped Data?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022","Yes , users will need to have approved access and given access to the application by groups through identity management tool"
"53) Are staff able to access client Scoped Data? If not, please identify the controls used to prevent this.","Submitted","","Not applicable","Level 1","chatbot v1","","chat bot","","","6/29/2022","I missed that, say that again?"
"54) Is there a process which allows the client to specifically list who from the provider will have access to their Scoped Systems and Data?","Submitted","","Not applicable","Level 1","chatbot v1","","chat bot","","","6/29/2022","I didn't get that. Can you say it again?"
"55) Are applications used to transmit, process or store Scoped Data?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"56) Is a web site supported, hosted or maintained that has access to Scoped Systems and Data?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022","es , ""The Logitech Sync portal has access to the customers  systems which are registered via the locally installed Sync agent - Sync agent is not a part of firmware/software on Logitech devices that don't have CollabOS (the Android 10 derived operating system running on Logitech Rally Bar, Rally Bar Mini, and RoomMate).
- On CollabOS, Sync agent is built in the operating system but it currently requires manually logging in the Sync portal. 
- On computers with Windows 10: Once a Logitech device is connected, all components of Sync agent except Sync user interface are installed as a critical update via Windows Updates. Sync user interface is required for logging the device in the Sync portal. Sync agent components including the user interface software can be bulk provisioned or installed locally using an .exe installer. 
- On Mac computers: Sync agent components including the user interface can be bulk provisioned or installed locally using a .pkg installer.                                                                                 The Sync agent is optional and does not get installed automatically."""
"55a) Are Web Servers used for transmitting, processing, or storing Scoped Data?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"55b) Is HTTPS enabled for all web pages used as part of the scoped service?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"55c) All available high-risk security patches applied and verified at least monthly?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"55d) Are third party alert services used to keep up to date with the latest vulnerabilities?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"55e) Events relevant to supporting incident investigation regularly reviewed using a specific methodology to uncover potential incidents?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"55f) Operating system and application logs relevant to supporting incident investigation protected against modification, deletion, and/or inappropriate access?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"57) Is application development performed?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"56a) Is there a secure software development lifecycle policy (including mobile software applications) that has been approved by management, communicated to appropriate staff and an owner to maintain and review the policy?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"56b) Is development, test, and staging environment separate from the production environment? If so, how are they segmented:","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022","not able to answer two questions in one "
"56c) Is there a formal Software Development Life Cycle (SDLC) process?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"56d) Are change control procedures required for all changes to the production environment?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"56e) Is Scoped Systems and Data ever used in the test, development, or QA environments?","Submitted","","No","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"58) Are applications analyzed on a regular basis to determine their vulnerability against recent attacks?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"59) Is there a formal development methodology in operation? If yes, which groups does it include?:","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022","not able to give two answers to this question"
"60) Are mobile applications that access Scoped Systems and Data developed?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022","the reply was way out ,    ' Yes , Roles operate on a least privilege basis'"
"61) Is there an Incident Management Program that has been approved by management, communicated to staff and an owner to maintain and review the program?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"60a) Does your Incident Response plan include the following?","Submitted","","None of the above","Level 1","chatbot v1","","chat bot","","","6/29/2022","unable to process this question       !!!!!!!!!!!!!!!!!!"
"62) Is there a formal Incident Response Plan?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022","no clear from allgress"
"63) Is there a 24x7x365 staffed phone number available to clients to report security incidents?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"64) Is there an established Business Resiliency program that has been approved by management and communicated to appropriate constituents?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"65) Has a Business Impact Analysis been conducted?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"66) Is there a formal process focused on identifying and addressing risks of disruptive incidents to the organization?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"67) Are specific response and recovery strategies defined for the prioritized activities?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"68) Are formal business continuity procedures developed and documented?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"69) Has senior management assigned the responsibility for the overall management of the response and recovery efforts?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"70) Is there a periodic (at least annual) review of your Business Resiliency Program?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"71) Are there any dependencies on critical third party service providers?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"72) Is there a formal, documented exercise and testing program in place?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"73) Is there an Influenza Pandemic/Infectious Disease Outbreak Plan?","Submitted","","Not applicable","Level 1","chatbot v1","","chat bot","","","6/29/2022","One more time?
"
"74) Is there a specific Recovery Time Objective (RTO)? If yes, what is it?","Submitted","","Not applicable","Level 1","chatbot v1","","chat bot","","","6/29/2022","Sorry, can you say that again?"
"75) Are all suppliers of critical hardware, network services and facility services involved in annual continuity and recovery tests?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022","Not sure this is correct for SYNC / SELECT "
"76) Are site failover tests performed at least annually?","Submitted","","Not applicable","Level 1","chatbot v1","","chat bot","","","6/29/2022","Are site failover tests performed at least annually?"
"77) Do contracts with Critical Service Providers include a penalty or remediation clause for breach of availability and continuity SLAs?","Submitted","","Not applicable","Level 1","chatbot v1","","chat bot","","","6/29/2022","Sorry, can you say that again?"
"78) Is there sufficient redundancy capacity to ensure services are not impacted in multi-tenancy environments during peak usage and above?","Submitted","","Not applicable","Level 1","chatbot v1","","chat bot","","","6/29/2022","One more time?"
"79) Does the organization maintain insurance to cover all or some of the costs associated with business interruptions or general service interruptions?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"80) Is there an internal audit, risk management or compliance department with responsibility for identifying and tracking resolution of outstanding regulatory issues?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022","Yes , Internal Audit and GRC Team"
"81) Are there policies and procedures to ensure compliance with applicable legislative, regulatory and contractual requirements to address intellectual property rights on business processes or information technology software products?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"82) Is there a records retention policy covering paper & electronic records, including email in support of applicable regulations, standards and contractual requirements?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"83) Is licensing maintained in all jurisdictions where the business is or where licensing is required?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"84) Is there an internal compliance and ethics program to ensure professional ethics and business practices are implemented?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"85) Are marketing or selling activities conducted directly to client's customers?","Submitted","","No","Level 1","chatbot v1","","chat bot","","","6/29/2022","No ,We have no way of knowing who clients customers are."
"86) Are there direct interactions with your client's customers?","Submitted","","No","Level 1","chatbot v1","","chat bot","","","6/29/2022","No , No direct interaction with clients nor do we have anyway of knowing who vendors  clients are."
"87) Are policies and procedures maintained for enabling compliance with applicable legal, regulatory, statutory, or contractual obligations related to any information security requirements?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"88) Is there a documented governance process to identify and assess changes that could significantly affect the system of internal controls for security, confidentiality and availability?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"89) Are accounts opened, transactions initiated or other account initiation activity applying payments, taking payments, transferring funds, etc. through either electronic, telephonic, written or in-person requests made on behalf of your client's?","Submitted","","No","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"90) Are these sites, applications and systems used to also transmit, process or store non-scoped data?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022","yes , ""The Logitech Sync portal has access to the customers  systems which are registered via the locally installed Sync agent - Sync agent is not a part of firmware/software on Logitech devices that don't have CollabOS (the Android 10 derived operating system running on Logitech Rally Bar, Rally Bar Mini, and RoomMate).
- On CollabOS, Sync agent is built in the operating system but it currently requires manually logging in the Sync portal. 
- On computers with Windows 10: Once a Logitech device is connected, all components of Sync agent except Sync user interface are installed as a critical update via Windows Updates. Sync user interface is required for logging the device in the Sync portal. Sync agent components including the user interface software can be bulk provisioned or installed locally using an .exe installer. 
- On Mac computers: Sync agent components including the user interface can be bulk provisioned or installed locally using a .pkg installer.                                                                                 The Sync agent is optional and does not get installed automatically."""
"91) Are all transaction details (such as payment card info and information about the parties conducting transactions) prohibited from being stored in the DMZ?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022","Incorrect answer , we do not process transactions "
"92) Does the service provider permit client audits and assessments?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022","this is incorrect , we do not permit client audits"
"93) Are End User Devices (Desktops, Laptops, Tablets, Smartphones) used for transmitting, processing or storing Scoped Data?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022","this is incorrect "
